id,ra_deg,dec_deg,major_arcsec,minor_arcsec,pa_deg
1,113.80791666666664,65.61786111111111,17.532525,14.02602,26.0
2,113.82083333333331,65.61477777777777,10.248792187500001,6.1492753125,174.0
3,113.82624999999999,65.6345,11.537948437499999,10.38415359375,110.0
4,113.83624999999998,65.67558333333334,14.9542125,11.963370000000001,105.0
5,113.83666666666664,65.64058333333334,14.3740921875,10.06186453125,79.0
6,113.83666666666664,65.69280555555557,14.9542125,11.963370000000001,32.0
7,113.84749999999998,65.60222222222221,14.18071875,8.50843125,166.0
8,113.87124999999999,65.65716666666667,19.466259375,15.573007500000001,85.0
9,113.88124999999998,65.59633333333333,12.3114421875,8.61800953125,5.0
10,113.89791666666665,65.63961111111112,10.442165625,8.3537325,35.0
11,113.91374999999998,65.7076388888889,79.8632296875,63.89058375,15.0
12,113.91416666666665,65.57347222222222,17.0813203125,8.54066015625,25.0
13,113.91583333333331,65.62902777777776,15.405417187500001,10.78379203125,123.0
14,113.91916666666665,65.59649999999999,15.9855375,12.78843,98.0
15,113.92833333333331,65.62230555555554,16.436742187500002,11.505719531250001,150.0
16,113.93541666666664,65.67397222222223,13.9228875,11.13831,74.0
17,113.93874999999998,65.58783333333332,18.434934375,11.060960625,41.0
18,113.94749999999998,65.55725,15.9855375,12.78843,160.0
19,113.94791666666664,65.61169444444444,15.7921640625,11.054514843749999,89.0
20,113.95249999999997,65.6436388888889,30.6174609375,15.30873046875,110.0
21,113.95333333333332,65.60558333333333,12.0536109375,12.0536109375,0.0
22,113.95458333333332,65.70225,12.6981890625,7.618913437499999,17.0
23,113.96874999999999,65.48969444444444,29.134931249999998,20.394451874999998,37.0
24,113.97333333333331,65.64886111111112,13.020478125,11.7184303125,69.0
25,113.9820833333333,65.64133333333334,14.18071875,8.50843125,58.0
26,113.99166666666665,65.65825000000001,18.434934375,7.373973750000001,8.0
27,113.99916666666664,65.54572222222222,41.639746875,33.311797500000004,160.0
28,114.00791666666666,65.59375,18.1126453125,18.1126453125,0.0
29,114.00916666666664,65.62180555555555,12.6981890625,7.618913437499999,2.0
30,114.01166666666664,65.56541666666666,12.0536109375,12.0536109375,0.0
31,114.01749999999997,65.59872222222222,10.6355390625,6.3813234375,26.0
32,114.01833333333332,65.60983333333333,15.9855375,12.78843,22.0
33,114.02124999999998,65.58983333333333,18.0481875,10.8289125,51.0
34,114.02249999999998,65.68036111111111,48.472274999999996,38.77782,29.0
35,114.03166666666664,65.60338888888889,10.8933703125,7.62535921875,69.0
36,114.03541666666665,65.61422222222221,12.3759,4.95036,15.0
37,114.04749999999999,65.62277777777777,15.276501562500002,7.638250781250001,2.0
38,114.04749999999999,65.65194444444445,17.0168625,6.806744999999999,9.0
39,114.05499999999998,65.65277777777779,10.05541875,10.05541875,0.0
40,114.06374999999998,65.62133333333333,10.442165625,8.3537325,2.0
41,114.07208333333331,65.6696388888889,48.6656484375,34.06595390625,65.0
42,114.07374999999998,65.60825,13.8584296875,6.92921484375,102.0
43,114.07583333333332,65.61102777777778,11.537948437499999,10.38415359375,71.0
44,114.0783333333333,65.54072222222221,12.504815625,10.0038525,171.0
45,114.07874999999999,65.50461111111112,10.8933703125,7.62535921875,24.0
46,114.08166666666665,65.5196111111111,12.6981890625,7.618913437499999,70.0
47,114.08333333333331,65.55572222222222,69.61443750000001,48.730106250000006,68.0
48,114.08458333333331,65.64461111111112,14.3740921875,10.06186453125,5.0
49,114.08916666666664,65.58624999999999,10.05541875,10.05541875,0.0
50,114.09083333333331,65.65236111111112,11.08674375,11.08674375,0.0
51,114.09541666666665,65.59288888888888,13.149393750000002,7.889636250000001,77.0
52,114.09624999999998,65.62511111111111,10.8933703125,7.62535921875,172.0
53,114.09916666666665,65.52622222222222,9.6042140625,4.80210703125,42.0
54,114.10249999999999,65.6756388888889,14.1162609375,14.1162609375,0.0
55,114.11124999999998,65.59977777777777,20.497584375000002,16.398067500000003,62.0
56,114.11791666666666,65.47947222222223,9.8620453125,6.903431718749999,21.0
57,114.12124999999999,65.63586111111111,34.8716765625,27.89734125,42.0
58,114.12208333333331,65.53055555555555,14.1162609375,14.1162609375,0.0
59,114.12374999999999,65.60499999999999,13.149393750000002,7.889636250000001,18.0
60,114.1245833333333,65.45555555555556,12.504815625,10.0038525,17.0
61,114.1245833333333,65.65972222222223,20.1108375,12.066502499999999,72.0
62,114.1245833333333,65.68277777777779,12.0536109375,4.8214443750000004,74.0
63,114.13208333333333,65.52386111111112,10.05541875,10.05541875,0.0
64,114.13291666666665,65.57997222222222,51.695165624999994,46.525649062499994,92.0
65,114.13708333333331,65.5941111111111,14.9542125,8.9725275,2.0
66,114.13916666666665,65.47077777777778,14.1162609375,14.1162609375,0.0
67,114.13958333333332,65.64411111111112,13.020478125,11.7184303125,155.0
68,114.14124999999999,65.513,12.5692734375,11.31234609375,140.0
69,114.14208333333332,65.55355555555555,45.571673437499996,36.45733875,62.0
70,114.14833333333331,65.64325000000001,8.0572265625,8.0572265625,0.0
71,114.15124999999998,65.67352777777778,15.7921640625,11.054514843749999,10.0
72,114.15666666666665,65.59266666666666,17.8548140625,12.49836984375,38.0
73,114.16041666666665,65.64097222222223,14.245176562500001,7.1225882812500005,104.0
74,114.16541666666664,65.60288888888888,17.9837296875,14.386983749999999,169.0
75,114.16874999999999,65.53733333333334,14.051803125000001,12.6466228125,70.0
76,114.17083333333332,65.62622222222221,49.052395312499996,34.33667671874999,60.0
77,114.17416666666664,65.54424999999999,74.7710625,67.29395625000001,22.0
78,114.17583333333332,65.66397222222223,12.0536109375,4.8214443750000004,19.0
79,114.18208333333331,65.69088888888889,43.702396875,30.591677812499995,146.0
80,114.18291666666666,65.62005555555555,11.08674375,11.08674375,0.0
81,114.18458333333332,65.61391666666665,14.760839062499999,10.33258734375,44.0
82,114.19208333333331,65.63444444444445,14.051803125000001,12.6466228125,26.0
83,114.19666666666664,65.6086111111111,12.8271046875,6.41355234375,22.0
84,114.2008333333333,65.53858333333334,13.4716828125,8.083009687499999,13.0
85,114.20124999999999,65.58108333333332,18.563850000000002,16.707465000000003,65.0
86,114.20124999999999,65.57441666666666,12.504815625,10.0038525,66.0
87,114.20541666666664,65.68105555555556,18.563850000000002,16.707465000000003,68.0
88,114.20624999999998,65.64133333333334,21.3355359375,14.93487515625,86.0
89,114.20833333333331,65.58938888888889,12.504815625,10.0038525,9.0
90,114.21083333333331,65.58269444444444,14.051803125000001,12.6466228125,25.0
91,114.21374999999998,65.45686111111111,14.051803125000001,12.6466228125,39.0
92,114.21416666666666,65.5068611111111,9.410840624999999,6.587588437499999,31.0
93,114.21458333333331,65.67852777777779,12.0536109375,12.0536109375,0.0
94,114.21583333333332,65.62380555555555,55.046971875000004,33.028183125,171.0
95,114.21833333333332,65.49294444444445,12.3114421875,8.61800953125,32.0
96,114.22416666666665,65.53569444444445,19.9174640625,13.94222484375,151.0
97,114.22458333333331,65.56875,13.342767187499998,9.339937031249997,52.0
98,114.22958333333332,65.57733333333333,39.834928125,19.9174640625,56.0
99,114.22999999999998,65.49816666666666,11.08674375,11.08674375,0.0
100,114.23041666666664,65.589,18.30601875,12.814213124999998,62.0
101,114.24166666666665,65.60116666666666,11.08674375,11.08674375,0.0
102,114.24374999999999,65.662,43.5090234375,34.80721875,8.0
103,114.24416666666664,65.66477777777779,14.3740921875,10.06186453125,73.0
104,114.24583333333331,65.61697222222222,17.0813203125,15.373188281250002,59.0
105,114.24916666666664,65.46808333333334,13.9228875,11.13831,88.0
106,114.25208333333332,65.59416666666667,15.083128125,13.5748153125,152.0
107,114.25333333333332,65.66027777777778,21.0777046875,18.969934218749998,113.0
108,114.255,65.5775,14.9542125,8.9725275,38.0
109,114.25666666666666,65.49247222222222,13.7295140625,8.2377084375,174.0
110,114.25708333333333,65.48052777777778,13.020478125,11.7184303125,45.0
111,114.25999999999999,65.58969444444443,17.661440624999997,10.596864374999997,130.0
112,114.26458333333332,65.58188888888888,13.084935937500001,13.084935937500001,0.0
113,114.26874999999998,65.66411111111111,9.8620453125,6.903431718749999,34.0
114,114.27208333333333,65.61655555555555,12.0536109375,9.642888750000001,110.0
115,114.2725,65.62325,19.595175,17.6356575,86.0
116,114.27291666666666,65.49991666666666,11.473490625,9.1787925,48.0
117,114.27833333333332,65.52822222222223,17.9837296875,14.386983749999999,2.0
118,114.28458333333332,65.6248611111111,23.3981859375,16.378730156249997,31.0
119,114.28541666666666,65.6701388888889,13.9228875,11.13831,31.0
120,114.28791666666666,65.53538888888889,20.88433125,12.53059875,150.0
121,114.29416666666665,65.58897222222221,15.534332812499999,12.42746625,134.0
122,114.30416666666666,65.57641666666666,10.442165625,8.3537325,163.0
123,114.30583333333334,65.50863888888888,11.6668640625,7.0001184375,24.0
124,114.30624999999999,65.55697222222221,22.7536078125,9.101443125000001,42.0
125,114.30624999999999,65.66669444444445,45.184926562499996,27.110955937499998,156.0
126,114.30833333333332,65.55722222222222,30.810834375000002,21.5675840625,13.0
127,114.31333333333333,65.46108333333333,114.54153281250001,103.08737953125001,142.0
128,114.31416666666665,65.53913888888889,48.2789015625,28.9673409375,20.0
129,114.31875,65.6005,9.2174671875,5.5304803125,159.0
130,114.32208333333332,65.58022222222222,17.79035625,8.895178125,70.0
131,114.32208333333332,65.57577777777777,50.534925,25.2674625,3.0
132,114.32541666666665,65.57547222222222,13.4716828125,10.77734625,172.0
133,114.32958333333332,65.62408333333333,14.3740921875,10.06186453125,53.0
134,114.32958333333332,65.62074999999999,6.96144375,5.569155,154.0
135,114.33125,65.606,15.405417187500001,10.78379203125,124.0
136,114.33166666666666,65.51044444444445,9.410840624999999,6.587588437499999,165.0
137,114.335,65.61394444444444,23.075896874999998,18.460717499999998,119.0
138,114.34208333333332,65.59233333333333,15.9855375,9.591322499999999,72.0
139,114.34291666666667,65.48566666666667,12.0536109375,12.0536109375,0.0
140,114.34333333333332,65.65761111111112,23.3981859375,14.0389115625,5.0
141,114.34499999999998,65.60344444444443,13.342767187499998,9.339937031249997,60.0
142,114.34625,65.59980555555555,12.0536109375,12.0536109375,0.0
143,114.35083333333333,65.52866666666667,8.50843125,7.657588124999999,4.0
144,114.35708333333334,65.58113888888889,15.598790625,14.0389115625,65.0
145,114.36,65.6486388888889,13.149393750000002,6.574696875000001,18.0
146,114.36666666666666,65.54108333333333,28.168064062499997,19.717644843749998,9.0
147,114.36791666666667,65.64636111111112,12.0536109375,7.2321665625,13.0
148,114.37041666666666,65.65580555555556,13.4716828125,8.083009687499999,124.0
149,114.37083333333334,65.62719444444444,13.149393750000002,6.574696875000001,174.0
150,114.38291666666666,65.58183333333334,14.567465624999999,8.740479375,22.0
151,114.38666666666666,65.47847222222222,71.41925625,71.41925625,0.0
152,114.3925,65.60677777777778,10.8933703125,7.62535921875,140.0
153,114.39333333333333,65.56927777777777,12.3114421875,8.61800953125,3.0
154,114.39416666666666,65.5351111111111,16.049995312500002,14.444995781250002,68.0
155,114.39833333333333,65.54591666666667,16.8234890625,11.776442343749999,171.0
156,114.40583333333332,65.53225,16.372284375,8.1861421875,5.0
157,114.41083333333333,65.58972222222222,45.8295046875,32.080653281249994,120.0
158,114.41166666666666,65.52444444444444,11.6668640625,7.0001184375,59.0
159,114.41416666666666,65.61722222222221,11.537948437499999,10.38415359375,61.0
160,114.41958333333332,65.5616111111111,67.5517875,47.28625125,145.0
161,114.42875,65.61019444444445,10.8933703125,7.62535921875,39.0
162,114.43166666666666,65.57405555555555,12.8271046875,6.41355234375,66.0
163,114.44916666666666,65.54172222222222,15.534332812499999,12.42746625,89.0
164,114.45666666666665,65.53999999999999,42.864445312499996,34.29155625,81.0
165,114.47,65.57883333333334,10.248792187500001,6.1492753125,105.0
166,114.49999999999999,65.49861111111112,12.9560203125,9.06921421875,33.0
167,114.50916666666664,65.52411111111111,20.5620421875,18.50583796875,153.0
168,114.51666666666665,65.45766666666667,12.0536109375,12.0536109375,0.0
169,114.52666666666664,65.54677777777778,12.6981890625,7.618913437499999,96.0
170,114.53249999999998,65.52841666666667,10.248792187500001,6.1492753125,4.0
171,114.54291666666664,65.48444444444445,25.9764984375,20.78119875,133.0
172,114.54333333333332,65.56611111111111,38.610229687499995,27.027160781249997,145.0
173,114.56333333333332,65.50875,96.7511765625,67.72582359375,15.0
174,114.57166666666664,65.48147222222222,9.990960937499999,7.99276875,6.0
175,114.61749999999998,65.5095,15.7921640625,11.054514843749999,87.0
